dominio,forno,n_files,completude,validade,acuracia_proxy,tempestividade,unicidade,consistencia,time_cols_detectadas,interpretacao_operacional,acoes_recomendadas
Consumo Fornos,F1,7,0.008233845447467128,0.8243666189636917,0.04805857700683734,,0.18841904761904762,0.7142857142857143,Data,"Risco moderado/alto para uso direto em modelagem em funcao de: completude, validade, unicidade, consistencia, tempestividade_indeterminada, acuracia_proxy_alta. Physics-based: risco por consistencia/validade/tempestividade. Supervisionada: risco por completude/validade/unicidade . Nao supervisionada: risco por completude/validade . RL: risco por consistencia/tempestividade/unicidade .",Investigar lacunas e padronizar preenchimento/campos obrigatorios. Padronizar parse/tipos/unidades e bloquear valores nao parseaveis. Definir chave natural e deduplicar exportacoes/reprocessamentos. Padronizar schema e versionar mudancas de colunas e significados. Definir coluna temporal oficial e padrao de timestamp por dominio. Revisar calibracao/drift e checar outliers por regras de engenharia.
Consumo Fornos,F2,8,0.008488870917137264,0.8243020616092921,0.042271721057899496,,0.18591666666666667,0.625,Data,"Risco moderado/alto para uso direto em modelagem em funcao de: completude, validade, unicidade, consistencia, tempestividade_indeterminada, acuracia_proxy_alta. Physics-based: risco por consistencia/validade/tempestividade. Supervisionada: risco por completude/validade/unicidade . Nao supervisionada: risco por completude/validade . RL: risco por consistencia/tempestividade/unicidade .",Investigar lacunas e padronizar preenchimento/campos obrigatorios. Padronizar parse/tipos/unidades e bloquear valores nao parseaveis. Definir chave natural e deduplicar exportacoes/reprocessamentos. Padronizar schema e versionar mudancas de colunas e significados. Definir coluna temporal oficial e padrao de timestamp por dominio. Revisar calibracao/drift e checar outliers por regras de engenharia.
Consumo Fornos,F3,8,0.00596448165091143,0.8234549446992,0.05214640911742044,,0.17935833333333334,0.5,Data,"Risco moderado/alto para uso direto em modelagem em funcao de: completude, validade, unicidade, consistencia, tempestividade_indeterminada, acuracia_proxy_alta. Physics-based: risco por consistencia/validade/tempestividade. Supervisionada: risco por completude/validade/unicidade . Nao supervisionada: risco por completude/validade . RL: risco por consistencia/tempestividade/unicidade .",Investigar lacunas e padronizar preenchimento/campos obrigatorios. Padronizar parse/tipos/unidades e bloquear valores nao parseaveis. Definir chave natural e deduplicar exportacoes/reprocessamentos. Padronizar schema e versionar mudancas de colunas e significados. Definir coluna temporal oficial e padrao de timestamp por dominio. Revisar calibracao/drift e checar outliers por regras de engenharia.
Consumo Fornos,F4,8,0.011532282896967769,0.8262486318493399,0.06293874738708649,,0.18130000000000002,0.625,Data,"Risco moderado/alto para uso direto em modelagem em funcao de: completude, validade, unicidade, consistencia, tempestividade_indeterminada, acuracia_proxy_alta. Physics-based: risco por consistencia/validade/tempestividade. Supervisionada: risco por completude/validade/unicidade . Nao supervisionada: risco por completude/validade . RL: risco por consistencia/tempestividade/unicidade .",Investigar lacunas e padronizar preenchimento/campos obrigatorios. Padronizar parse/tipos/unidades e bloquear valores nao parseaveis. Definir chave natural e deduplicar exportacoes/reprocessamentos. Padronizar schema e versionar mudancas de colunas e significados. Definir coluna temporal oficial e padrao de timestamp por dominio. Revisar calibracao/drift e checar outliers por regras de engenharia.
Consumo Fornos,F5,8,0.0120731000674483,0.8257260384299989,0.0642792629689264,,0.18175,0.75,Data,"Risco moderado/alto para uso direto em modelagem em funcao de: completude, validade, unicidade, consistencia, tempestividade_indeterminada, acuracia_proxy_alta. Physics-based: risco por consistencia/validade/tempestividade. Supervisionada: risco por completude/validade/unicidade . Nao supervisionada: risco por completude/validade . RL: risco por consistencia/tempestividade/unicidade .",Investigar lacunas e padronizar preenchimento/campos obrigatorios. Padronizar parse/tipos/unidades e bloquear valores nao parseaveis. Definir chave natural e deduplicar exportacoes/reprocessamentos. Padronizar schema e versionar mudancas de colunas e significados. Definir coluna temporal oficial e padrao de timestamp por dominio. Revisar calibracao/drift e checar outliers por regras de engenharia.
Corridas,F1,8,0.9926440302803816,0.7986247426632269,0.0002708161784359614,,1.0,1.0,Data_Base,"Risco moderado/alto para uso direto em modelagem em funcao de: validade, tempestividade_indeterminada. Physics-based: risco por consistencia/validade/tempestividade. Supervisionada: risco por completude/validade/unicidade . Nao supervisionada: risco por completude/validade . RL: risco por consistencia/tempestividade/unicidade .",Padronizar parse/tipos/unidades e bloquear valores nao parseaveis. Definir coluna temporal oficial e padrao de timestamp por dominio.
Corridas,F2,8,0.9794247944085688,0.7975615417243733,0.00011068613129167387,,1.0,0.625,Data_Base,"Risco moderado/alto para uso direto em modelagem em funcao de: completude, validade, consistencia, tempestividade_indeterminada. Physics-based: risco por consistencia/validade/tempestividade. Supervisionada: risco por completude/validade/unicidade . Nao supervisionada: risco por completude/validade . RL: risco por consistencia/tempestividade/unicidade .",Investigar lacunas e padronizar preenchimento/campos obrigatorios. Padronizar parse/tipos/unidades e bloquear valores nao parseaveis. Padronizar schema e versionar mudancas de colunas e significados. Definir coluna temporal oficial e padrao de timestamp por dominio.
Corridas,F3,8,0.9950878741536666,0.7850750101171264,0.0006747255065045316,,1.0,1.0,Data_Base,"Risco moderado/alto para uso direto em modelagem em funcao de: validade, tempestividade_indeterminada. Physics-based: risco por consistencia/validade/tempestividade. Supervisionada: risco por completude/validade/unicidade . Nao supervisionada: risco por completude/validade . RL: risco por consistencia/tempestividade/unicidade .",Padronizar parse/tipos/unidades e bloquear valores nao parseaveis. Definir coluna temporal oficial e padrao de timestamp por dominio.
Corridas,F4,8,0.9926627380222235,0.7797497553790413,0.0005910805437801296,,1.0,1.0,Data_Base,"Risco moderado/alto para uso direto em modelagem em funcao de: validade, tempestividade_indeterminada. Physics-based: risco por consistencia/validade/tempestividade. Supervisionada: risco por completude/validade/unicidade . Nao supervisionada: risco por completude/validade . RL: risco por consistencia/tempestividade/unicidade .",Padronizar parse/tipos/unidades e bloquear valores nao parseaveis. Definir coluna temporal oficial e padrao de timestamp por dominio.
Corridas,F5,8,0.9924485340741718,0.7797044198758369,0.0005656298461884664,,1.0,1.0,Data_Base,"Risco moderado/alto para uso direto em modelagem em funcao de: validade, tempestividade_indeterminada. Physics-based: risco por consistencia/validade/tempestividade. Supervisionada: risco por completude/validade/unicidade . Nao supervisionada: risco por completude/validade . RL: risco por consistencia/tempestividade/unicidade .",Padronizar parse/tipos/unidades e bloquear valores nao parseaveis. Definir coluna temporal oficial e padrao de timestamp por dominio.
