idx,file,title,pages,size_mb
1,01 - 1. Introduction.pdf,1. Introduction,5,0.1
2,02 - 2. Basics of Ferroalloys.pdf,2. Basics of Ferroalloys,20,0.18
3,03 - 3. Theory of Ferroalloys Processing.pdf,3. Theory of Ferroalloys Processing,54,0.66
4,04 - 4. Ferroalloys Processing Equipment.pdf,4. Ferroalloys Processing Equipment,56,0.73
5,05 - 5. Electric and Thermal Operations of Furnaces for Ferroalloys Production.pdf,5. Electric and Thermal Operations of Furnaces for Ferroalloys Production,37,1.16
6,06 - 6. Ferrosilicon and Silicon Technology.pdf,6. Ferrosilicon and Silicon Technology,42,0.4
7,07 - 7. Manganese Ferroalloys Technology.pdf,7. Manganese Ferroalloys Technology,46,0.44
8,08 - 8. Technology of Chromium and Its Ferroalloys.pdf,8. Technology of Chromium and Its Ferroalloys,50,0.33
9,09 - 9. High Carbon Ferrochrome Technology.pdf,9. High Carbon Ferrochrome Technology,47,0.66
10,10 - 10. Technology of Ferronickel.pdf,10. Technology of Ferronickel,9,0.08
11,11 - 11. Technology of Tungsten Ferroalloys.pdf,11. Technology of Tungsten Ferroalloys,9,0.09
12,12 - 12. Technology of Molybdenum Ferroalloys.pdf,12. Technology of Molybdenum Ferroalloys,10,0.09
13,13 - 13. Technology of Vanadium Ferroalloys.pdf,13. Technology of Vanadium Ferroalloys,13,0.1
14,14 - 14. Technology of Niobium Ferroalloys.pdf,14. Technology of Niobium Ferroalloys,9,0.08
15,15 - 15. Technology of Titanium Ferroalloys.pdf,15. Technology of Titanium Ferroalloys,13,0.14
16,16 - 16. Technology of Zirconium Ferroalloys.pdf,16. Technology of Zirconium Ferroalloys,13,0.11
17,17 - 17. Boron Ferroalloys.pdf,17. Boron Ferroalloys,9,0.08
18,18 - 18. Technology of Ferroalloys with Rare-Earth Metals.pdf,18. Technology of Ferroalloys with Rare-Earth Metals,11,0.09
19,19 - 19. Technology of Ferroalloys with Alkaline-Earth Metals.pdf,19. Technology of Ferroalloys with Alkaline-Earth Metals,24,0.19
20,20 - 20. Complex Ferroalloys and Other Master Alloys.pdf,20. Complex Ferroalloys and Other Master Alloys,11,0.1
21,21 - Handbook of Ferroalloys Theory and Technology.pdf,Handbook of Ferroalloys Theory and Technology,1,0.09
22,22 - Contributors.pdf,Contributors,1,0.01
23,23 - Copyright.pdf,Copyright,1,0.11
24,24 - Preface.pdf,Preface,2,0.02
25,25 - General References.pdf,General References,1,0.01
26,26 - Index.pdf,Index,12,0.05
